伝票番号,明細番号,要求明細番号,営業日付,開店回数,店舗コード,店舗名,明細区分,商品コード,バーコード,商品名,仕入先名,部門名,分類１名,原価,商品管理区分,標準金額,標準税額,税率,販売金額,販売税額,数量,小計金額,小計税額,P/S区分,按分後金額,按分後税額,値引区分,部門販売フラグ,免税用商品区分,軽減税率対象品,伝票引除外,売上報告控除区分,(伝)現金,(伝)クレジット,(伝)売掛,(伝)その他,登録日時
4301477,3,3,20260208,1,01001050,FUNイオンモール各務原,0,1109149001122,2900000194595,450723ﾑﾗﾗﾒｽｳｪｯﾄPT,株式会社FUSION,TC,OFF,950.00,1,2999,299,10,2999,299,1,2999,299,1,3299,300,0,0,0,0,0,0,0,0,0,10100,2026/02/08 20:24:08
4301475,1,1,20260208,1,01001054,FUNエミテラス所沢,0,1110149017010,2900000187924,450688ｽﾄｰﾝｼﾞｯﾌﾟPK,株式会社FUSION,TC,BLACK,1220.00,1,2399,239,10,2399,239,1,2399,239,1,2638,239,0,0,0,0,0,0,0,0,0,2638,2026/02/08 20:20:50
4301472,1,1,20260208,1,01001036,FUNイオンレイクタウン,0,110912309471A03,2900000173187,F-0194ﾃﾞﾆﾑﾌﾚｱｰPT,株式会社フラワージーンズ,TC,BLUE,1370.00,1,2999,299,10,2999,299,1,2999,299,1,3298,299,0,0,0,0,0,0,0,0,0,3298,2026/02/08 20:24:49
4301471,1,1,20260208,1,01001036,FUNイオンレイクタウン,0,1504149023010,2900000191716,450754ﾌｪｻﾞｰｵﾌｼｮﾙKT,株式会社FUSION,ガーリー,BLACK,1100.00,1,1399,139,10,1399,139,1,1399,139,1,1538,139,0,0,0,0,0,0,0,0,0,2000,2026/02/08 20:17:01
4301470,1,1,20260208,1,01001036,FUNイオンレイクタウン,0,1109149001412,2900000194618,450723ﾑﾗﾗﾒｽｳｪｯﾄPT,株式会社FUSION,TC,PI,950.00,1,2999,299,10,2999,299,1,2999,299,1,3299,300,0,0,0,0,0,0,0,0,0,10000,2026/02/08 20:15:05
4301470,2,2,20260208,1,01001036,FUNイオンレイクタウン,0,1110149022410,2900000194656,450722ﾑﾗﾗﾒｼｼｭｳPK,株式会社FUSION,TC,PI,1250.00,1,3399,339,10,3399,339,1,3399,339,1,3738,339,0,0,0,0,0,0,0,0,0,10000,2026/02/08 20:15:05
4301469,1,1,20260208,1,01001054,FUNエミテラス所沢,0,1508122008094,2900000190931,24AW063ﾌﾘﾙﾁｭﾁｭSK,株式会社ＴｒｅｅＴｕｍｂｏ,ガーリー,BK系,1035.00,1,2799,279,10,2799,279,1,2799,279,1,3078,279,0,0,0,0,0,0,0,0,0,3100,2026/02/08 20:16:23
4301469,2,2,20260208,1,01001054,FUNエミテラス所沢,0,9998998012113,2900000103825,NｼｮｯﾋﾟﾝｸﾞﾊﾞｯｸﾞM,その他,***,WH,11.00,0,20,2,10,20,2,1,20,2,1,22,2,0,0,0,0,0,0,0,0,0,3100,2026/02/08 20:16:23
4301468,1,1,20260208,1,01001046,FUNららぽーとEXPOCITY,0,1504149023130,2900000191723,450754ﾌｪｻﾞｰｵﾌｼｮﾙKT,株式会社FUSION,ガーリー,IV,1100.00,1,1399,139,10,1399,139,1,1399,139,1,1538,139,0,0,0,0,0,0,0,0,0,1538,2026/02/08 20:17:27
4301467,1,1,20260208,1,01001049,FUNイオンモール幕張新都心,0,1504149024130,2900000194519,460052ｽｿﾚｰｽﾘﾎﾞﾝKT,株式会社FUSION,ガーリー,IV,1250.00,1,3599,359,10,3599,359,1,3599,359,1,3958,359,0,0,0,0,0,0,0,0,0,3958,2026/02/08 20:15:50
4301466,1,1,20260208,1,01001047,FUNラゾーナ川崎プラザ,0,1505050003510,2900000189959,TGDK413ﾌﾛﾝﾄﾘﾎﾞﾝPO,株式会社トップ,ガーリー,RD,1080.00,1,2999,299,10,2999,299,1,2999,299,1,3299,300,0,0,0,0,0,0,0,0,0,10588,2026/02/08 20:14:11
4301466,2,2,20260208,1,01001047,FUNラゾーナ川崎プラザ,0,1504149023910,2900000191747,450754ﾌｪｻﾞｰｵﾌｼｮﾙKT,株式会社FUSION,ガーリー,GRAY,1100.00,1,1399,139,10,1399,139,1,1399,139,1,1539,140,0,0,0,0,0,0,0,0,0,10588,2026/02/08 20:14:11
4301466,3,3,20260208,1,01001047,FUNラゾーナ川崎プラザ,0,1110149022120,2900000194649,450722ﾑﾗﾗﾒｼｼｭｳPK,株式会社FUSION,TC,OFF,1250.00,1,3399,339,10,3399,339,1,3399,339,1,3738,339,0,0,0,0,0,0,0,0,0,10588,2026/02/08 20:14:11
4301466,4,4,20260208,1,01001047,FUNラゾーナ川崎プラザ,0,1511122010013,2900000184565,115KJ486ﾚｰｽﾏﾙﾁｳｪｲｷｬﾐ,株式会社ＴｒｅｅＴｕｍｂｏ,ガーリー,BLACK,625.00,1,1799,179,10,1799,179,1,1799,179,1,1979,180,0,0,0,0,0,0,0,0,0,10588,2026/02/08 20:14:11
4301466,5,5,20260208,1,01001047,FUNラゾーナ川崎プラザ,0,9998998013114,2900000103832,NｼｮｯﾋﾟﾝｸﾞﾊﾞｯｸﾞL,その他,***,WH,22.00,0,30,3,10,30,3,1,30,3,1,33,3,0,0,0,0,0,0,0,0,0,10588,2026/02/08 20:14:11
